Date,Adj Close,Close,High,Low,Open,Volume
2023-10-18 00:00:00+00:00,28328.341796875,28328.341796875,28889.009765625,28174.251953125,28413.53125,12724128586
2023-10-19 00:00:00+00:00,28719.806640625,28719.806640625,28892.474609375,28177.98828125,28332.416015625,14448058195
2023-10-20 00:00:00+00:00,29682.94921875,29682.94921875,30104.0859375,28601.669921875,28732.8125,21536125230
2023-10-21 00:00:00+00:00,29918.412109375,29918.412109375,30287.482421875,29481.751953125,29683.380859375,11541146996
2023-10-22 00:00:00+00:00,29993.896484375,29993.896484375,30199.43359375,29720.3125,29918.654296875,10446520040
2023-10-23 00:00:00+00:00,33086.234375,33086.234375,34370.4375,30097.828125,30140.685546875,38363572311
2023-10-24 00:00:00+00:00,33901.52734375,33901.52734375,35150.43359375,32880.76171875,33077.3046875,44934999645
2023-10-25 00:00:00+00:00,34502.8203125,34502.8203125,35133.7578125,33709.109375,33916.04296875,25254318008
2023-10-26 00:00:00+00:00,34156.6484375,34156.6484375,34832.91015625,33762.32421875,34504.2890625,19427195376
2023-10-27 00:00:00+00:00,33909.80078125,33909.80078125,34238.2109375,33416.88671875,34156.5,16418032871
2023-10-28 00:00:00+00:00,34089.57421875,34089.57421875,34399.390625,33874.8046875,33907.72265625,10160330825
2023-10-29 00:00:00+00:00,34538.48046875,34538.48046875,34743.26171875,33947.56640625,34089.37109375,11160323986
2023-10-30 00:00:00+00:00,34502.36328125,34502.36328125,34843.93359375,34110.97265625,34531.7421875,17184860315
2023-10-31 00:00:00+00:00,34667.78125,34667.78125,34719.25390625,34083.30859375,34500.078125,15758270810
2023-11-01 00:00:00+00:00,35437.25390625,35437.25390625,35527.9296875,34170.69140625,34657.2734375,22446272005
2023-11-02 00:00:00+00:00,34938.2421875,34938.2421875,35919.84375,34401.57421875,35441.578125,20998158544
2023-11-03 00:00:00+00:00,34732.32421875,34732.32421875,34942.47265625,34133.44140625,34942.47265625,17158456701
2023-11-04 00:00:00+00:00,35082.1953125,35082.1953125,35256.03125,34616.69140625,34736.32421875,9561294264
2023-11-05 00:00:00+00:00,35049.35546875,35049.35546875,35340.33984375,34594.2421875,35090.01171875,12412743996
2023-11-06 00:00:00+00:00,35037.37109375,35037.37109375,35286.02734375,34765.36328125,35044.7890625,12693436420
2023-11-07 00:00:00+00:00,35443.5625,35443.5625,35892.41796875,34545.81640625,35047.79296875,18834737789
2023-11-08 00:00:00+00:00,35655.27734375,35655.27734375,35994.41796875,35147.80078125,35419.4765625,17295394918
2023-11-09 00:00:00+00:00,36693.125,36693.125,37926.2578125,35592.1015625,35633.6328125,37762672382
2023-11-10 00:00:00+00:00,37313.96875,37313.96875,37493.80078125,36362.75390625,36702.25,22711265155
2023-11-11 00:00:00+00:00,37138.05078125,37138.05078125,37407.09375,36773.66796875,37310.0703125,13924272142
2023-11-12 00:00:00+00:00,37054.51953125,37054.51953125,37227.69140625,36779.1171875,37133.9921875,11545715999
2023-11-13 00:00:00+00:00,36502.35546875,36502.35546875,37405.1171875,36399.60546875,37070.3046875,19057712790
