Número de Pago,Balance Inicial,Pago Programado,Pago del Principal,Pago de Intereses,Balance Final
30,203725608.45697394,2460308.993684441,253281.56873389008,2207027.424950551,203472326.88824004
31,203472326.88824004,2460308.993684441,256025.4523951742,2204283.5412892667,203216301.43584487
32,203216301.43584487,2460308.993684441,258799.06146278838,2201509.9322216525,202957502.37438208
33,202957502.37438208,2460308.993684441,261602.7179619684,2198706.2757224725,202695899.6564201
34,202695899.6564201,2460308.993684441,264436.74740655674,2195872.246277884,202431462.90901357
35,202431462.90901357,2460308.993684441,267301.4788367939,2193007.514847647,202164161.43017676
36,202164161.43017676,2460308.993684441,270197.2448575264,2190111.7488269145,201893964.18531924
37,201893964.18531924,2460308.993684441,273124.3816768159,2187184.612007625,201620839.80364242
38,201620839.80364242,2460308.993684441,276083.2291449816,2184225.7645394593,201344756.57449743
39,201344756.57449743,2460308.993684441,279074.1307940525,2181234.8628903884,201065682.44370338
40,201065682.44370338,2460308.993684441,282097.4338776544,2178211.5598067865,200783585.00982574
41,200783585.00982574,2460308.993684441,285153.4894113289,2175155.504273112,200498431.5204144
42,200498431.5204144,2460308.993684441,288242.6522132852,2172066.3414711556,200210188.86820114
43,200210188.86820114,2460308.993684441,291365.28094559535,2168943.7127388455,199918823.58725554
44,199918823.58725554,2460308.993684441,294521.7381558395,2165787.2555286014,199624301.8490997
45,199624301.8490997,2460308.993684441,297712.39031919464,2162596.603365246,199326589.4587805
46,199326589.4587805,2460308.993684441,300937.60788098583,2159371.385803455,199025651.85089952
47,199025651.85089952,2460308.993684441,304197.7652996965,2156111.2283847444,198721454.0855998
48,198721454.0855998,2460308.993684441,307493.241090443,2152815.752593998,198413960.84450936
49,198413960.84450936,2460308.993684441,310824.41786892293,2149484.575815518,198103136.42664045
50,198103136.42664045,2460308.993684441,314191.68239583634,2146117.3112886045,197788944.7442446
51,197788944.7442446,2460308.993684441,317595.4256217913,2142713.5680626496,197471349.31862283
52,197471349.31862283,2460308.993684441,321036.0427326937,2139272.950951747,197150313.27589014
53,197150313.27589014,2460308.993684441,324513.933195631,2135795.06048881,196825799.34269452
54,196825799.34269452,2460308.993684441,328029.50080525037,2132279.4928791905,196497769.84188926
55,196497769.84188926,2460308.993684441,331583.15373064065,2128725.8399538,196166186.68815863
56,196166186.68815863,2460308.993684441,335175.3045627228,2125133.689121718,195831011.3835959
57,195831011.3835959,2460308.993684441,338806.3703621519,2121502.623322289,195492205.01323375
58,195492205.01323375,2460308.993684441,342476.7727077422,2117832.2209766987,195149728.24052602
59,195149728.24052602,2460308.993684441,346186.9377454091,2114122.0559390318,194803541.3027806
60,194803541.3027806,2460308.993684441,349937.29623765126,2110371.6974467896,194453604.00654295
61,194453604.00654295,2460308.993684441,353728.2836135593,2106580.7100708815,194099875.7229294
62,194099875.7229294,2460308.993684441,357560.34001937276,2102748.653665068,193742315.38291
63,193742315.38291,2460308.993684441,361433.9103695825,2098875.0833148584,193380881.47254044
64,193380881.47254044,2460308.993684441,365349.4443985864,2094959.5492858544,193015532.02814186
65,193015532.02814186,2460308.993684441,369307.39671290433,2091001.5969715365,192646224.63142896
66,192646224.63142896,2460308.993684441,373308.2268439608,2087000.76684048,192272916.404585
67,192272916.404585,2460308.993684441,377352.39930143696,2082956.594383004,191895564.00528356
68,191895564.00528356,2460308.993684441,381440.3836272026,2078868.6100572383,191514123.62165636
69,191514123.62165636,2460308.993684441,385572.65444983053,2074736.3392346103,191128550.96720654
70,191128550.96720654,2460308.993684441,389749.69153970364,2070559.3021447372,190738801.27566683
71,190738801.27566683,2460308.993684441,393971.979864717,2066337.0138197239,190344829.29580212
72,190344829.29580212,2460308.993684441,398240.00964658475,2062068.984037856,189946589.28615552
73,189946589.28615552,2460308.993684441,402554.2764177562,2057754.7172666846,189544035.00973776
74,189544035.00973776,2460308.993684441,406915.28107894864,2053393.7126054922,189137119.72865883
75,189137119.72865883,2460308.993684441,411323.5299573038,2048985.463727137,188725796.19870153
76,188725796.19870153,2460308.993684441,415779.53486517444,2044529.4588192664,188310016.66383636
77,188310016.66383636,2460308.993684441,420283.8131595473,2040025.1805248936,187889732.8506768
78,187889732.8506768,2460308.993684441,424836.8878021091,2035472.1058823317,187464895.9628747
79,187464895.9628747,2460308.993684441,429439.287419965,2030869.7062644758,187035456.67545474
80,187035456.67545474,2460308.993684441,434091.54636701476,2026217.447317426,186601365.12908772
81,186601365.12908772,2460308.993684441,438794.20478599076,2021514.78889845,186162570.9243017
82,186162570.9243017,2460308.993684441,443547.8086711725,2016761.1850132684,185719023.11563054
83,185719023.11563054,2460308.993684441,448352.90993177705,2011956.0837526638,185270670.20569876
84,185270670.20569876,2460308.993684441,453210.0664560378,2007098.927228403,184817460.1392427
85,184817460.1392427,2460308.993684441,458119.84217597847,2002189.1515084624,184359340.29706672
86,184359340.29706672,2460308.993684441,463082.8071328851,1997226.1865515558,183896257.48993382
